Detector,Descriptor,ImgNumber,TTC_Lidar,TTC_Camera
SIFT,FREAK,0008,13.7901,16.0789
SIFT,FREAK,0009,12.059,12.0819
SIFT,FREAK,0010,11.8642,12.2083
SIFT,FREAK,0011,11.9682,13.5322
SIFT,FREAK,0012,9.88711,9.67352
SIFT,FREAK,0013,9.42504,11.0045
SIFT,FREAK,0014,9.30215,9.09664
SIFT,FREAK,0015,8.3212,9.78878
SIFT,FREAK,0016,8.89867,8.52091
SIFT,FREAK,0017,11.0301,9.56674
SIFT,FREAK,0018,8.53557,11.7597
SIFT,SIFT,0001,12.2891,12.8855
SIFT,SIFT,0002,13.3547,13.2134
SIFT,SIFT,0003,16.3845,13.5186
SIFT,SIFT,0004,14.0764,18.8554
SIFT,SIFT,0005,12.7299,15.8074
SIFT,SIFT,0006,13.7511,10.6541
SIFT,SIFT,0007,13.7314,14.0702
SIFT,SIFT,0008,13.7901,14.038
SIFT,SIFT,0009,12.059,13.5525
SIFT,SIFT,0010,11.8642,11.0002
SIFT,SIFT,0011,11.9682,12.5134
SIFT,SIFT,0012,9.88711,10.7472
SIFT,SIFT,0013,9.42504,10.0364
SIFT,SIFT,0014,9.30215,9.27744
SIFT,SIFT,0015,8.3212,10.0738
SIFT,SIFT,0016,8.89867,8.9445
SIFT,SIFT,0017,11.0301,8.88504
SIFT,SIFT,0018,8.53557,9.65817
